model,chassis,plate,year,reg_days,fines_count,fines_amount,ins_issue,ins_expiry,insurer,mortgagee
JAC JS4,LJ12EKS30R4704701,N 82965,2024,287,1,600,03/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
JAC J7,LJ12FKT38R4002654,N 76634,2024,287,4,2400,03/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
JAC JS6,LJ166A253R4706906,N 77310,2024,287,0,0,03/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
JAC J7,LJ12FKT30R4002664,O 40118,2024,287,0,0,03/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
SUZUKI BALENO,MBHWBAC18SG748921,Y 81235,2025,287,2,900,02/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
SUZUKI DZIRE,MBHZF6C13RG483026,Y 65923,2024,287,0,0,02/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
JAC S3,LJ12EKR22R4714112,W 78108,2024,287,0,0,13/07/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
MG MG WHALE,LSJA24W91RS055536,M 31901,2024,287,5,2890,27/06/24,27/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,Dubai Islamic Bank
JAC JS4,LJ12EKS37R4704694,O 18930,2024,289,0,0,03/07/24,29/07/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
NISSAN XTERRA,MNTAD3N65S6009616,41267 EE,2025,312,0,0,25/08/25,21/08/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
AUDI A3,WAUZZZGY0SA066619,41277 EE,2025,312,2,900,25/08/25,21/08/26,DUBAI INSURANCE (.COMPANY(P.S.C,EMIRATES NBD BANK (P.J.S.C)
