vehicle_code,division_name,fixed_asset_name,model,plate,chassis,model_year,ownership,investor_name,purchase_date,purchase_price_aed,down_payment_aed,finance_bank,loan_amount_aed,monthly_emi_aed,loan_start,loan_months,profit_rate_pct,insurer,insurance_expiry,registration_expiry,daily_rate_aed,weekly_rate_aed,monthly_rate_aed,salik_tag_no,status,notes
V-011,V-011 65114 CC Mercedes Vito 116 Cdi,V-011 65114 CC Mercedes Vito 116 Cdi,Mercedes Vito 116 Cdi,65114 CC,W1WV0FEZ2P4142356,2023,Company,,,,,,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,25/12/25,,,,,,Active,
V-012,V-012 H 95258 Toyota Raize,V-012 H 95258 Toyota Raize,Toyota Raize,H 95258,MHKAA1BA3RJ108817,2024,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,25/12/25,,,,,,Active,
V-013,V-013 H 75706 Toyota Rush,V-013 H 75706 Toyota Rush,Toyota Rush,H 75706,MHKEF8BF3PK050545,2024,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,25/12/25,,,,,,Active,
V-014,V-014 H 95272 Toyota Veloz,V-014 H 95272 Toyota Veloz,Toyota Veloz,H 95272,MHFAB1BY8R3081711,2024,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,25/12/25,,,,,,Active,
V-015,V-015 T 23013 Jac S3,V-015 T 23013 Jac S3,Jac S3,T 23013,LJ12EKR26P4724722,2023,Company,,,,,,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,25/12/25,,,,,,Active,
V-016,V-016 M 30148 Mg Mg3,V-016 M 30148 Mg Mg3,Mg Mg3,M 30148,LSJWP4U35SZ088879,2025,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,20/01/26,,,,,,Active,
V-017,V-017 N 80942 Ford Territory,V-017 N 80942 Ford Territory,Ford Territory,N 80942,LJXCU3BB4SHF52742,2025,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,20/01/26,,,,,,Active,
V-018,V-018 M 24818 Mg Mg3,V-018 M 24818 Mg Mg3,Mg Mg3,M 24818,LSJWP4U37SZ107318,2025,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,20/01/26,,,,,,Active,
V-019,V-019 M 29014 Mg Mg3,V-019 M 29014 Mg Mg3,Mg Mg3,M 29014,LSJWP4U36SZ092486,2025,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,20/01/26,,,,,,Active,
V-020,V-020 M 32925 Mg Mg3,V-020 M 32925 Mg Mg3,Mg Mg3,M 32925,LSJWP4U36SZ092469,2025,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,20/01/26,,,,,,Active,
V-021,V-021 I 67594 Mg Rx 9,V-021 I 67594 Mg Rx 9,Mg Rx 9,I 67594,LSJWC4W91SZ605155,2025,Company (financed),,,,,EMIRATES ISLAMIC BANK,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,20/01/26,,,,,,Active,
V-022,V-022 53813 Motorcycle Honda Unicorn,V-022 53813 Motorcycle Honda Unicorn,Honda Unicorn,53813 Motorcycle,ME4KC20E7MA005367,2021,Company,,,,,,,,,,,AL AIN AHLIA INSURANCE CO. (DUBA,27/01/26,,,,,,Active,
V-023,V-023 H 20274 Mg Mg 5,V-023 H 20274 Mg Mg 5,Mg Mg 5,H 20274,LSJA36E39RZ144316,2024,Company (financed),,,,,Dubai Islamic Bank,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,16/05/26,,,,,,Active,
V-024,V-024 F 59190 Mg Mg 5,V-024 F 59190 Mg Mg 5,Mg Mg 5,F 59190,LSJA36E34RZ113569,2024,Company (financed),,,,,Dubai Islamic Bank,,,,,,DUBAI INSURANCE (.COMPANY(P.S.C,16/05/26,,,,,,Active,
